Hospital,insurance_provider,total_billing,pct_of_hospital_revenue
Davis PLC,Medicare,39678.66,38.64
Davis PLC,Cigna,22863.63,22.27
Davis and Sons,UnitedHealthcare,121231.48,41.31
Davis and Sons,Aetna,70842.53,24.14
Davis and Sons,Medicare,54784.23,18.67
"Davis, Arnold and King",Cigna,47753.55,100
"Davis, Baker and Anderson",Medicare,11610.39,100
"Davis, Barrett and Mitchell",Blue Cross,12723.42,100
"Davis, Black and Thompson",UnitedHealthcare,4980.57,100
"Davis, Brown and Cook",Aetna,7639.26,100
"Davis, Clayton and Nguyen",UnitedHealthcare,19428.56,100
"Davis, Dominguez and Morales",Blue Cross,21591.84,100
"Davis, Douglas and Wagner",UnitedHealthcare,43031.03,100
"Davis, Edwards and Simmons",UnitedHealthcare,45717.86,100
"Davis, Jones and Thomas",Aetna,33576.84,100
"Davis, Lowery and Craig",Medicare,26175.5,100
"Davis, Martin and Hughes",Blue Cross,7612.57,100
"Davis, Martinez and Manning",Blue Cross,21034.3,100
"Davis, Mccoy and Ramos",Aetna,45191.28,100
"Davis, Middleton and Koch",Medicare,28162.54,100
"Davis, Miller and Jones",Medicare,20250.07,100
"Davis, Moss and Perez",Medicare,18933.88,100
"Davis, Myers and Cruz",Aetna,33593.19,100
"Davis, Nguyen and Bruce",UnitedHealthcare,46575.69,100
"Davis, Ortiz and Dean",Aetna,36016.94,100
"Davis, Phillips and West",Blue Cross,18258.38,100
"Davis, Robinson and Fox",Cigna,33962.7,100
"Davis, Schroeder and Martinez",UnitedHealthcare,8030.72,100
"Davis, Snyder and Jensen",Cigna,43030.53,100
"Davis, Sullivan and Davis",Blue Cross,26158.4,100
"Davis, Watson and Anderson",Medicare,18483.96,100
Davis-Allen,Aetna,7942.85,100
Davis-Anderson,Cigna,16287.82,100
Davis-Branch,UnitedHealthcare,15696.97,100
Davis-Brown,Medicare,19040.48,100
Davis-Browning,Blue Cross,24060.26,100
Davis-Freeman,Cigna,27439.22,100
Davis-Gutierrez,Aetna,16353.43,100
Davis-Hamilton,Cigna,44276.65,100
Davis-Hernandez,Blue Cross,29037.79,100
Davis-Houston,Cigna,18765.57,100
Davis-Jackson,Blue Cross,42709.36,100
Davis-Jones,UnitedHealthcare,39922.07,100
Davis-Macdonald,Cigna,5864.3,100
Davis-Miller,Cigna,19975.23,58.67
Davis-Miller,Aetna,14069.64,41.33
Davis-Morris,Blue Cross,47827.56,100
Davis-Olson,Cigna,2348.08,100
Davis-Ortiz,Aetna,42183.66,100
Davis-Perkins,Cigna,41458.66,100
Davis-Reed,UnitedHealthcare,19508.68,100
Davis-Roth,Medicare,10204.89,100
Davis-Sanchez,UnitedHealthcare,10776.4,100
Davis-Sawyer,Cigna,14966.19,100
Davis-Smith,UnitedHealthcare,41990.42,52.24
Davis-Smith,Cigna,38391.01,47.76
Davis-Thomas,Medicare,37743.62,100
Davis-Villarreal,UnitedHealthcare,25063.63,100
Davis-Walker,Aetna,43981.5,100
Davis-Webb,Blue Cross,45354.24,100
Davis-Woods,Blue Cross,45884.35,100
Dawson Group,Blue Cross,8227.71,100
Dawson Inc,Medicare,44655.76,100
Dawson Ltd,Aetna,71601.57,100
"Dawson, Berry and Sanchez",Cigna,40386.52,100
"Dawson, Henson and Osborn",Blue Cross,40317.75,100
"Dawson, Martin and Mclaughlin",UnitedHealthcare,40137.38,100
"Dawson, Owen and Sloan",Aetna,20057.98,100
"Dawson, Walker and Snyder",Aetna,32477.75,100
"Dawson, Yang and Hood",Cigna,35791.96,100
Dawson-Bradshaw,Blue Cross,27559.73,100
Dawson-Harding,Medicare,1273.56,100
Dawson-Obrien,Cigna,10544,100
Dawson-Palmer,Cigna,44019.08,100
Dawson-Velasquez,Cigna,11125.16,100
Day Group,Aetna,28993.97,100
Day Inc,Cigna,47121.87,63.38
Day Inc,Aetna,27229.91,36.62
Day PLC,Medicare,29205.64,100
Day and Sons,Medicare,47262.24,100
"Day, Clark and Oliver",Blue Cross,38039.93,100
"Day, Fernandez and Serrano",Medicare,42901.78,100
"Day, Martin and Bowman",Blue Cross,15730.35,100
"Day, Neal and Jordan",Aetna,1378,100
Day-Torres,UnitedHealthcare,18959.99,100
Dean and Sons,Cigna,22963.61,100
"Dean, Duncan and Lamb",UnitedHealthcare,23907.34,100
"Dean, Neal and Mendoza",UnitedHealthcare,4517.58,100
"Dean, Peterson and Shea",UnitedHealthcare,24972.56,100
"Dean, Smith and Fleming",Cigna,10720.53,100
Dean-Crawford,Cigna,25092.92,100
Dean-Howell,Cigna,7136.78,100
Decker Group,Medicare,19203.63,100
"Decker, Garcia and Sexton",Aetna,9260.45,100
Decker-Black,UnitedHealthcare,14142.88,100
Decker-Johnson,UnitedHealthcare,40812.45,100
Decker-Moore,Aetna,18698.26,100
Decker-Ward,Aetna,40373.17,100
Delacruz Inc,UnitedHealthcare,26805.7,100
"Delacruz, Smith and Gonzalez",Aetna,17072.45,100
Delacruz-Warner,UnitedHealthcare,38341.93,100
Deleon LLC,Blue Cross,18555.54,100
Deleon PLC,Cigna,30795.47,76.51
Deleon PLC,UnitedHealthcare,7474.71,18.57
Deleon PLC,Blue Cross,1981.09,4.92
Deleon and Sons,Blue Cross,1880.32,100
"Deleon, Golden and Gomez",UnitedHealthcare,4358.75,100
Deleon-Martin,UnitedHealthcare,2702.26,100
Delgado Group,Blue Cross,24033.86,100
"Delgado, Banks and Foster",UnitedHealthcare,42322.89,100
"Delgado, Jones and Skinner",Cigna,5413.13,100
Delgado-Collins,Medicare,10984.12,100
Delgado-Gardner,Cigna,16825.63,100
Delgado-Terry,Cigna,45819.6,100
Dennis Inc,Blue Cross,45477.06,71.89
Dennis Inc,UnitedHealthcare,15192.39,24.02
Dennis Inc,Aetna,2591.71,4.1
"Dennis, Burton and Atkinson",Cigna,19829.05,100
"Dennis, Hogan and Lambert",Aetna,29603.25,100
"Dennis, Simmons and Mitchell",Cigna,13732.02,100
"Dennis, Walker and Boyd",UnitedHealthcare,46629.77,100
Dennis-Church,Cigna,27082.47,100
Dennis-Moran,Cigna,28564.79,100
Dennis-Nelson,UnitedHealthcare,28522.69,100
Dennis-Salazar,Aetna,39914.34,100
Diaz Group,Medicare,44941.23,100
Diaz Inc,Cigna,36780.7,50.65
Diaz Inc,Blue Cross,35832.33,49.35
Diaz LLC,Aetna,46315.9,87.09
Diaz LLC,Cigna,6867.42,12.91
Diaz Ltd,Aetna,12478.89,100
Diaz PLC,Blue Cross,36778.06,51.42
Diaz PLC,UnitedHealthcare,34753.24,48.58
Diaz and Sons,Blue Cross,43137.28,62.35
Diaz and Sons,Medicare,26047.71,37.65
"Diaz, Fox and Harper",Aetna,30663.06,100
"Diaz, Hunter and West",Aetna,27047.15,100
"Diaz, Jackson and Wade",Aetna,9561.52,100
"Diaz, Krause and Morris",UnitedHealthcare,9907.39,100
"Diaz, Smith and Scott",Aetna,41974.31,100
"Diaz, West and Holt",Aetna,10536.35,100
Diaz-Brown,Aetna,4662.83,100
Diaz-Ferguson,Blue Cross,20080.3,100
Diaz-Hughes,Aetna,45946.51,100
Diaz-Meza,Aetna,24190.99,100
Diaz-Moody,Blue Cross,18943.14,100
Diaz-Peterson,Aetna,41587.36,100
Diaz-Ray,UnitedHealthcare,4327.01,100
Diaz-Roberts,Medicare,20385.94,100
Diaz-Smith,Aetna,42685.19,100
Diaz-Terry,Cigna,10686.77,100
Diaz-White,Aetna,22038.87,100
Dickerson Group,Medicare,42411.21,100
Dickerson Ltd,Cigna,14688.63,100
"Dickerson, Alvarado and Wilkerson",Medicare,24406.05,100
"Dickson, Holder and Booth",Blue Cross,19438.07,100
"Dickson, Roach and Saunders",Medicare,43449.65,100
Dillon PLC,Cigna,45081.99,100
"Dillon, Dunn and Elliott",Medicare,10830.14,100
"Dillon, Roberson and Miller",Blue Cross,26425,100
Dillon-Castro,Aetna,40329.92,100
Dillon-Griffith,Aetna,20091.35,100
Dixon Group,Cigna,17224.41,100
"Dixon, Ayala and Mendoza",Aetna,3027.82,100
"Dixon, Branch and Fischer",UnitedHealthcare,10892.78,100
"Dixon, Cook and Gonzalez",Medicare,13004.9,100
"Dixon, Johnson and Thompson",Aetna,44109.02,100
"Dixon, Nelson and Reese",UnitedHealthcare,31326.76,100
"Dixon, Palmer and Villarreal",Medicare,18042.64,100
"Dixon, Phillips and Huffman",Cigna,16106.94,100
"Dixon, Scott and Mills",Blue Cross,42689.22,100
"Dixon, Wright and Benson",Medicare,29226.52,100
"Dixon, Yates and Elliott",UnitedHealthcare,19859.06,100
Dixon-Goodwin,Aetna,14433.02,100
Dixon-Mitchell,Medicare,5425.94,100
Dixon-Smith,Medicare,20840.73,100
Dodson LLC,Aetna,46166.88,100
"Dodson, Black and Johnson",Medicare,23761.99,100
Dominguez LLC,Cigna,13150.66,100
"Dominguez, Mendez and Williams",Aetna,46757.78,100
Dominguez-Adams,Medicare,7645.34,100
Dominguez-Nelson,Blue Cross,36439.08,100
Dominguez-Price,Medicare,30444.04,100
Dominguez-Smith,Medicare,8836.85,100
"Donaldson, Wilson and Martin",Medicare,43865.9,100
Donaldson-Hodge,UnitedHealthcare,26929.92,100
"Donovan, Lopez and Banks",Aetna,5688.88,100
"Donovan, Williams and Gould",Aetna,22672.38,100
Donovan-Welch,Cigna,4493.97,100
Dorsey Ltd,Cigna,46283.58,100
Dorsey and Sons,UnitedHealthcare,14429.22,100
Dorsey-Suarez,Cigna,40698.31,100
Dorsey-Torres,Medicare,17021.61,100
"Dougherty, Castillo and Taylor",UnitedHealthcare,49878.94,100
"Dougherty, Martin and Smith",Medicare,39144.89,100
"Dougherty, Martinez and Wise",Cigna,8755.08,100
Dougherty-Lopez,Medicare,4246.63,100
Douglas Inc,Blue Cross,47751.17,82.42
Douglas Inc,Medicare,10181.97,17.58
Douglas Ltd,UnitedHealthcare,34029.18,100
Douglas PLC,Aetna,25037.67,100
Douglas and Sons,Aetna,16342.65,100
"Douglas, Davis and Pham",Aetna,12313.02,100
"Douglas, Long and Scott",UnitedHealthcare,18262.84,100
"Douglas, Nguyen and Mendoza",Cigna,46114.61,100
"Douglas, Spencer and Jones",Medicare,13207.35,100
Douglas-Rodriguez,Blue Cross,18272.83,100
Douglas-Smith,Aetna,1450.64,100
Downs Group,Cigna,19564.73,100
Downs Inc,Cigna,34802.68,100
Downs and Sons,UnitedHealthcare,10243.53,100
"Downs, Arnold and Lloyd",Cigna,22074.39,100
"Downs, Burton and Duncan",Blue Cross,18949.35,100
"Downs, Clark and Nelson",Blue Cross,29827.16,100
Downs-Hicks,UnitedHealthcare,10317.89,100
Downs-Mcmahon,Blue Cross,5953.51,100
Doyle Group,Medicare,29983.67,100
Doyle LLC,Cigna,55983.06,100
Doyle Ltd,Cigna,31622.31,100
"Doyle, Davis and Duncan",Cigna,16741.27,100
"Doyle, Smith and Hoover",Aetna,33725.42,100
Doyle-Lopez,UnitedHealthcare,41337.63,100
Drake PLC,Medicare,31485.9,100
Drake and Sons,Blue Cross,63272.4,63.41
Drake and Sons,UnitedHealthcare,36516.5,36.59
Drake-Hoover,UnitedHealthcare,2314.84,100
Drake-Love,Cigna,39766.97,100
Drake-Moss,Blue Cross,9321.66,100
Duarte Inc,Medicare,27676.34,100
"Duarte, Williams and White",Medicare,24429.46,100
Duarte-Miller,Blue Cross,11827.37,100
Dudley-Hall,Cigna,7113.48,100
Dudley-Lee,Aetna,15380.86,100
Duffy PLC,UnitedHealthcare,47684.13,91.15
Duffy PLC,Blue Cross,4630.37,8.85
"Duffy, Potts and Rodgers",UnitedHealthcare,39472.19,100
Duffy-Wood,Medicare,12540.25,100
Duke Group,Cigna,5098.66,100
"Duke, Daniels and Smith",Cigna,21919.32,100
Duke-Anderson,Blue Cross,37146.98,100
Duncan Group,UnitedHealthcare,35869.41,100
Duncan PLC,Aetna,31352.57,100
"Duncan, Banks and Bell",UnitedHealthcare,23191.44,100
"Duncan, Cherry and May",Cigna,11306.89,100
"Duncan, Dennis and Hunt",Blue Cross,8697.37,100
"Duncan, Robinson and Crosby",UnitedHealthcare,9501.93,100
"Duncan, Whitaker and Phelps",UnitedHealthcare,26673.33,100
Duncan-Cruz,Cigna,24081.17,100
Duncan-Lara,Medicare,45576.31,100
Duncan-Lindsey,Aetna,25369.48,100
Duncan-Taylor,Aetna,5650.42,100
Dunlap LLC,Blue Cross,44953.29,100
"Dunlap, Bishop and Reed",Aetna,39747.65,100
"Dunlap, Moore and Mcintosh",UnitedHealthcare,13790.51,100
Dunlap-Velez,UnitedHealthcare,44504.93,100
Dunn Inc,Cigna,43853.46,100
Dunn Ltd,Aetna,49954.97,100
Dunn PLC,UnitedHealthcare,2517.45,100
Dunn and Sons,Blue Cross,10645.75,100
"Dunn, Yates and Brown",Medicare,42964.6,100
Dunn-Johnson,Blue Cross,44862.83,100
Dunn-Mclaughlin,Aetna,32903.22,100
Dunn-Morris,Aetna,9032.25,100
Dunn-Price,Blue Cross,14580.68,100
Dunn-Smith,Medicare,38694.15,100
Dunn-Snyder,Cigna,32569.82,100
Duran Ltd,UnitedHealthcare,42383.36,100
"Duran, Mcpherson and Santiago",Medicare,6894.15,100
"Duran, Meyers and Paul",Blue Cross,31926.51,100
Duran-Elliott,Cigna,1517.37,100
Duran-Harris,UnitedHealthcare,48914,100
Duran-Marshall,Medicare,13167.28,100
Duran-Myers,Medicare,1280.55,100
Duran-Patterson,Cigna,11936.93,100
Durham PLC,Medicare,45806.61,100
"Durham, Levy and Ortega",Cigna,6943.6,100
Durham-Bennett,Blue Cross,49113.45,100
Durham-Johnson,Medicare,6804.43,100
Dyer Inc,UnitedHealthcare,27648.1,100
Dyer LLC,UnitedHealthcare,23692.49,100
Dyer and Sons,UnitedHealthcare,23456.38,100
Dyer-Pruitt,Medicare,15667.02,100
Eaton Group,Blue Cross,46271.86,100
Eaton Inc,Cigna,28482.81,100
"Eaton, Foster and Tucker",Blue Cross,5545.34,100
Eaton-Roach,Cigna,29937.09,100
Edwards Group,Cigna,80055.76,100
Edwards Inc,Blue Cross,40276.97,100
Edwards LLC,Blue Cross,11901.59,100
Edwards Ltd,Aetna,25090.97,80.57
Edwards Ltd,UnitedHealthcare,6052.48,19.43
Edwards and Sons,UnitedHealthcare,31265.88,100
"Edwards, Choi and Gonzalez",Medicare,38698.63,100
"Edwards, Cochran and Thompson",Aetna,13061.33,100
"Edwards, Dawson and Flores",Medicare,35930.4,100
"Edwards, Herrera and Gray",Blue Cross,31895.51,100
"Edwards, Horn and Cox",Cigna,11125.42,100
"Edwards, Jenkins and Hampton",Blue Cross,16860.16,100
"Edwards, Martin and Jackson",Aetna,43649.23,100
"Edwards, Murphy and Marquez",Cigna,8307.85,100
"Edwards, Salinas and Snyder",Cigna,37113.07,100
"Edwards, West and Garcia",Medicare,14020.03,100
"Edwards, White and Russell",UnitedHealthcare,23728.64,100
Edwards-Barron,Aetna,3323.15,100
Edwards-Chandler,Aetna,10659.83,100
Edwards-Clarke,Medicare,19562.9,100
Edwards-Johnson,Medicare,10875.1,100
Edwards-Kane,Blue Cross,41312.72,100
Edwards-Perez,UnitedHealthcare,17959.76,100
Edwards-Porter,Cigna,45730.3,100
Edwards-Trevino,Blue Cross,33147.49,100
Edwards-Walker,Blue Cross,48265.43,100
Elliott Inc,Aetna,26722.71,100
"Elliott, Davis and Blake",UnitedHealthcare,33332.14,100
"Elliott, Davis and Jones",UnitedHealthcare,15439.17,100
"Elliott, Garcia and Barnes",UnitedHealthcare,35336.55,100
"Elliott, Sanchez and Kelly",Cigna,25598.76,100
Elliott-Black,Aetna,25360.57,100
Elliott-Bullock,Aetna,2024.81,100
Elliott-Greene,Aetna,12593.55,100
Elliott-Kent,Blue Cross,8593.4,100
Elliott-Lopez,Cigna,4205.95,100
Elliott-Ortega,Medicare,39156.55,100
Elliott-Phillips,Blue Cross,9396.35,100
Elliott-Ross,Cigna,32466.88,100
Elliott-Smith,Medicare,9543,100
Ellis Group,Aetna,42289.8,100
Ellis Inc,Medicare,36803.18,100
Ellis LLC,Aetna,21746.88,100
Ellis PLC,UnitedHealthcare,24735.43,100
Ellis and Sons,Cigna,47986.81,69.57
Ellis and Sons,UnitedHealthcare,20987.9,30.43
"Ellis, Howard and Harris",UnitedHealthcare,20685.71,100
"Ellis, Miller and Duncan",Aetna,44454.41,100
"Ellis, Wiggins and Barr",Blue Cross,21081.51,100
Ellis-Davis,Cigna,30730.89,100
Ellis-Obrien,Cigna,42072.99,100
Ellis-Wolfe,Aetna,16826.91,100
Ellison and Sons,UnitedHealthcare,45112.76,100
"Ellison, Thomas and Joseph",Aetna,21666.55,100
Ellison-Holmes,Blue Cross,31495.29,100
Ellison-Johnson,UnitedHealthcare,49994.98,100
Ellison-King,Medicare,1700.05,100
"English, Brown and Weeks",UnitedHealthcare,14230.47,100
"English, Gomez and Mitchell",Cigna,18694.21,100
"English, Simmons and Wilson",UnitedHealthcare,18925.58,100
English-Davis,Aetna,31303.65,100
English-Perez,Medicare,38191.59,100
English-Rogers,Aetna,47419.88,100
English-Simon,Cigna,2502.92,100
Erickson Inc,Medicare,5866.17,100
Erickson Ltd,UnitedHealthcare,35939.43,100
Erickson and Sons,UnitedHealthcare,1171.42,100
"Erickson, Reese and Martin",Cigna,14789.31,100
"Erickson, Scott and Strickland",Medicare,29736.06,100
Erickson-Clark,Cigna,28971.75,100
Erickson-Cooke,Blue Cross,10169.33,100
Erickson-Ramirez,Cigna,6529.78,100
Erickson-Richardson,Aetna,45709.63,100
Erickson-Sellers,Blue Cross,43062.11,100
Escobar PLC,Medicare,3535.01,100
"Escobar, Jones and Cruz",Medicare,48828.1,100
Esparza Group,UnitedHealthcare,24628.64,100
Esparza and Sons,Medicare,3975.07,100
"Esparza, Fox and Thomas",UnitedHealthcare,1604.02,100
Esparza-Clark,Aetna,6420.66,100
Espinoza Group,Aetna,41197.52,78.74
Espinoza Group,UnitedHealthcare,11124.06,21.26
"Espinoza, Dodson and Rogers",Aetna,31483.56,100
"Espinoza, Frye and Woodward",Blue Cross,39659.26,100
"Espinoza, Reynolds and Salazar",Aetna,5883.16,100
"Espinoza, Richard and Taylor",Blue Cross,25217.79,100
Espinoza-Lawrence,Medicare,30149.35,100
"Estes, Burns and Perez",Cigna,28154.49,100
"Estes, Mcclure and Farrell",Aetna,32571.69,100
"Estrada, Bowen and Chase",Blue Cross,12321.44,100
"Estrada, Garza and Lee",Medicare,7242.53,100
"Estrada, Nguyen and Patterson",Cigna,1256.48,100
Estrada-Anderson,Medicare,28491.11,100
Estrada-Edwards,Medicare,49475.7,100
Estrada-Huang,Blue Cross,8373.87,100
Estrada-Lewis,Aetna,22699.01,100
Estrada-Sawyer,Medicare,17892.93,100
Evans Inc,Blue Cross,40659.61,73.77
Evans Inc,Aetna,14460.23,26.23
Evans LLC,Blue Cross,39602.85,57.1
Evans LLC,Cigna,29748.83,42.9
Evans PLC,Blue Cross,28021.51,52.59
Evans PLC,Aetna,25257.27,47.41
Evans and Sons,Medicare,44596.76,100
"Evans, Carroll and Mcknight",Blue Cross,13510.33,100
"Evans, Castaneda and Adams",Aetna,11914.8,100
"Evans, Hood and Clark",Cigna,11916.9,100
"Evans, Roman and Lane",Aetna,32276.82,100
"Evans, Ruiz and Wood",Blue Cross,47705.17,100
"Evans, Sanders and Smith",Cigna,6743.59,100
Evans-Austin,UnitedHealthcare,35022.84,100
Evans-Bennett,Blue Cross,44157.89,100
Evans-Carson,Aetna,2501.26,100
Evans-Hill,Cigna,42683.88,81.46
Evans-Hill,Blue Cross,9714.9,18.54
Evans-Price,Cigna,45543.98,100
Evans-Ross,Medicare,49904.3,100
Evans-Sanchez,UnitedHealthcare,36110.69,100
Evans-Shah,Blue Cross,48637.89,100
Evans-Sparks,Medicare,46925.43,100
Evans-Todd,Blue Cross,21078.49,100
Everett LLC,Cigna,38503.32,100
"Everett, Harris and Reynolds",UnitedHealthcare,22208.33,100
Everett-Flynn,Aetna,46868.41,100
Everett-Ware,Cigna,16924.13,100
Ewing PLC,Medicare,12652.74,100
"Ewing, Fowler and Garcia",Medicare,12143.67,100
"Farley, Kelly and Davis",Medicare,33361.98,100
Farmer Inc,Cigna,5773.63,100
Farmer LLC,UnitedHealthcare,16674.88,100
Farmer Ltd,Aetna,11008.53,100
Farmer and Sons,Blue Cross,6738.38,100
"Farmer, Goodman and Sanchez",UnitedHealthcare,8827.47,100
Farrell Inc,UnitedHealthcare,3678.79,100
"Farrell, Fisher and Martin",Cigna,9754.83,100
"Farrell, Mason and Stephenson",Medicare,7359.5,100
Farrell-Smith,Aetna,10338.41,100
Faulkner Inc,Medicare,19623.14,100
Faulkner Ltd,Blue Cross,8091.97,100
"Faulkner, Hill and Wolfe",UnitedHealthcare,11481.08,100
"Faulkner, Munoz and Friedman",UnitedHealthcare,49848.96,100
"Faulkner, West and Lopez",Blue Cross,40845.32,100
Ferguson Inc,Cigna,41633.44,100
Ferguson and Sons,Aetna,1276.07,100
"Ferguson, Jensen and Anderson",Aetna,19491.18,100
"Ferguson, Jones and Jones",Medicare,41482.52,100
"Ferguson, Maldonado and Carney",UnitedHealthcare,14684.64,100
"Ferguson, Martin and Gardner",Blue Cross,20063.47,100
"Ferguson, Wheeler and Mcintyre",Aetna,36414.61,100
Ferguson-Allen,Cigna,28086.63,100
Ferguson-Bennett,Cigna,43266.51,100
Ferguson-Herman,Blue Cross,6858.79,100
Ferguson-Miller,UnitedHealthcare,26601.66,100
Ferguson-Reyes,UnitedHealthcare,17245.17,100
Ferguson-Smith,Aetna,9990.81,100
Fernandez Inc,Medicare,49379.48,37.48
Fernandez Inc,Blue Cross,42167.35,32
Fernandez Inc,Aetna,40219.25,30.52
"Fernandez, Lynch and Baldwin",Aetna,26799.04,100
"Fernandez, Schwartz and Ferguson",Blue Cross,34022.65,100
Fernandez-Rodriguez,Medicare,36135.62,100
Fernandez-Underwood,Medicare,49691.66,100
"Ferrell, Chang and Terrell",Medicare,46028.23,100
"Ferrell, Todd and Mendoza",Medicare,4635.67,100
Ferrell-Jones,Medicare,29292.16,100
Ferrell-Rodriguez,Medicare,12533.81,100
Fields Ltd,Cigna,6718.59,100
Fields-Long,Blue Cross,5046.1,100
Fields-Wallace,Blue Cross,49838.15,100
Fields-Williams,Cigna,41121.71,100
Fields-Wood,UnitedHealthcare,27916.01,100
Figueroa LLC,Aetna,8550.23,100
Figueroa Ltd,Blue Cross,33481.52,100
Figueroa and Sons,Medicare,19433.58,100
"Figueroa, Mueller and Hernandez",Aetna,44916.1,100
Figueroa-Roberts,Blue Cross,30642.48,100
Finley Ltd,UnitedHealthcare,27947.42,100
Finley-Bradley,Cigna,39323.85,100
Fischer Inc,Medicare,25308.39,100
Fischer-Harris,UnitedHealthcare,41807.37,100
Fischer-Martinez,Aetna,23389.08,100
Fischer-Smith,Cigna,39000.19,100
Fisher Group,Blue Cross,32860.62,73.66
Fisher Group,Cigna,11752.77,26.34
Fisher Inc,Cigna,44028.19,61.88
Fisher Inc,Medicare,27125.12,38.12
Fisher Ltd,UnitedHealthcare,6971.8,100
Fisher PLC,Aetna,47469.15,100
Fisher and Sons,Medicare,47765.65,100
"Fisher, Dodson and Hall",Medicare,17572.34,100
"Fisher, Smith and Moreno",Medicare,5824.26,100
Fisher-Dyer,UnitedHealthcare,17599.75,100
Fisher-Harris,Cigna,1297.34,100
Fisher-Huffman,Blue Cross,21860.39,100
Fitzgerald LLC,Blue Cross,45919.72,100
Fitzgerald PLC,UnitedHealthcare,45434.06,100
"Fitzgerald, Abbott and Arnold",Cigna,23209.65,100
"Fitzgerald, Taylor and Webb",Blue Cross,43545.94,100
Fitzgerald-Johnson,Medicare,28483.47,100
Fitzgerald-Thornton,Medicare,44867.86,100
Fitzpatrick Ltd,Aetna,48491.91,100
"Fitzpatrick, Barnes and Pierce",Aetna,22137.16,100
Fitzpatrick-Powell,Blue Cross,49346.3,100
Fleming LLC,Medicare,14007.13,100
"Fleming, Hamilton and Jones",UnitedHealthcare,29788.21,100
"Fleming, Owen and Stewart",UnitedHealthcare,31421.57,100
Fleming-Brown,Aetna,44957.68,100
Fleming-Fischer,Blue Cross,43005.32,100
Fleming-Johnson,Aetna,32997.13,100
Fleming-Lee,Blue Cross,32288.97,100
Fleming-Lutz,Medicare,45335.89,100
Fleming-Tucker,UnitedHealthcare,39792.83,100
Fletcher Group,UnitedHealthcare,27108.27,100
Fletcher Ltd,Blue Cross,35550.19,100
Fletcher-Lee,Medicare,20536.01,100
Fletcher-Silva,UnitedHealthcare,22607.47,100
Fletcher-Smith,Blue Cross,36023.37,100
Flores Group,Cigna,65338.98,61.82
Flores Group,Blue Cross,40355.02,38.18
Flores Inc,UnitedHealthcare,40340.53,100
Flores LLC,Medicare,26504.17,100
Flores PLC,Cigna,33098.48,100
Flores and Sons,UnitedHealthcare,27313.93,100
"Flores, Alexander and Thompson",Cigna,22426.24,100
"Flores, Dorsey and Alvarado",Cigna,29117.23,100
"Flores, Evans and Alvarez",Medicare,8335.99,100
"Flores, Lee and Martin",Aetna,31911.06,100
"Flores, Palmer and Cook",Blue Cross,16219.58,100
"Flores, Rodriguez and Smith",Aetna,30019.69,100
"Flores, Ruiz and Mccarty",UnitedHealthcare,17790.95,100
"Flores, Soto and Weaver",Blue Cross,45033,100
"Flores, Watson and Stone",Blue Cross,16457.37,100
Flores-Avila,Blue Cross,25933.98,100
Flores-Key,Cigna,22964.51,100
Flores-Mcdaniel,Cigna,6626.5,100
Flores-Nelson,Aetna,47643.05,100
Flores-Vargas,Blue Cross,11621.73,100
Flowers LLC,Blue Cross,6658.18,100
"Flowers, Brown and Osborne",Blue Cross,44689.23,100
Flowers-Vang,Medicare,29716.84,100
Floyd-George,Cigna,34827.82,100
Floyd-Hernandez,Blue Cross,22182.21,100
Flynn PLC,UnitedHealthcare,11276.38,100
Flynn and Sons,Medicare,42808.61,100
"Flynn, Juarez and Mack",UnitedHealthcare,22476.14,100
Flynn-Jackson,Medicare,3539.94,100
Flynn-James,Cigna,9161.07,100
Flynn-Thomas,Blue Cross,26584.38,100
Foley Inc,Blue Cross,3252.62,100
Foley LLC,Medicare,23715.36,100
Foley Ltd,Cigna,23006.61,73.36
Foley Ltd,Aetna,8354.8,26.64
"Foley, English and Odonnell",UnitedHealthcare,45196.08,100
Foley-Brooks,Aetna,9077.4,100
Foley-Stout,Blue Cross,39608.7,100
Forbes PLC,Aetna,45540,100
"Forbes, Briggs and Yang",Blue Cross,17202.77,100
"Forbes, Herrera and Lucero",Blue Cross,45547.95,100
"Forbes, Hill and Macias",Blue Cross,25726.3,100
"Forbes, Mercado and Moran",Cigna,31154.09,100
"Forbes, Taylor and Moreno",Blue Cross,11786.02,100
Ford Group,Blue Cross,15723.29,100
Ford Inc,Blue Cross,25327.09,100
Ford Ltd,Blue Cross,36989.09,93.5
Ford Ltd,UnitedHealthcare,2569.67,6.5
Ford PLC,Aetna,37290.98,52.07
Ford PLC,Blue Cross,34328.25,47.93
Ford and Sons,Aetna,45509.02,77.53
Ford and Sons,Cigna,13191.36,22.47
"Ford, Bowman and Martin",Aetna,26252.97,100
"Ford, Chang and Taylor",Blue Cross,24963.75,100
"Ford, Gibson and Parker",Blue Cross,49958,100
"Ford, Glover and Robinson",Cigna,23191.49,100
"Ford, Rodriguez and Gaines",UnitedHealthcare,13981.36,100
"Ford, Vincent and Robinson",Blue Cross,12520.85,100
"Ford, Whitney and Brown",Aetna,18488.79,100
"Ford, Wilson and Davis",Aetna,42968.27,100
Ford-Perry,Blue Cross,33854.3,100
Ford-Savage,Blue Cross,15002.46,100
Foster Group,Aetna,85318.09,57.49
Foster Group,Cigna,45671.54,30.78
Foster Group,UnitedHealthcare,17407.91,11.73
Foster Inc,Aetna,41417.84,100
Foster LLC,UnitedHealthcare,41926.89,100
